Mod,Plot,Type,Distance,Side,UniqueID,Altitude,Decl1,Decl2,Decl3,Decl4,Aspecto,Prof1,Prof2,Prof3,Prof4,Rocha1,Rocha2,Rocha3,Rocha4,Solo1,Solo2,Solo3,Solo4,Biom1,Biom2,Biom3,Biom4,Serra1,Serra2,Serra3,Serra4,esp_serra1,esp_serra2,esp_serra3,esp_serra4,grimpa1,grimpa2,grimpa3,grimpa4,hmax,dossel,agua,Gado,Veg,Fogo,tipo.veg,obs,obs2,data,Biomass_mean,Serra_mean,Species_richness
1,M01T02,Terrestre,225,J,TN1500_225_J,1459.0,15.0,15.0,15.0,15.0,70.0,20.0,20.0,20.0,20.0,0.0,5.0,0.0,20.0,5.0,15.0,10.0,10.0,95.0,80.0,90.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0,10.0,48.2746875,100.0,1.0,,,FOM-CAMPO,,,,83.75,0.0,0.0
1,M01T02,Terrestre,25,M,TN1500_25_M,1459.0,9.5,9.5,9.5,9.5,70.0,21.1,21.1,21.1,21.1,0.0,0.0,0.0,30.0,95.0,98.0,92.0,68.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,2.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,3.0,97.1215625,100.0,1.0,,,FOM-CAMPO,,,,0.0,4.25,0.5
1,M01T02,Terrestre,75,M,TN1500_75_M,1459.0,17.5,17.5,17.5,17.5,70.0,19.0,19.0,19.0,19.0,70.0,10.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,30.0,85.0,45.0,20.0,2.3,1.5,3.3,3.0,0.0,0.0,0.0,0.0,4.0,81.98395833,100.0,1.0,,,FOM-CAMPO,,,,2.5,45.0,10.1
1,M01T02,Terrestre,125,M,TN1500_125_M,1459.0,6.0,6.0,6.0,6.0,70.0,30.0,30.0,30.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,85.0,90.0,50.0,35.0,15.0,10.0,1.7,2.5,2.5,0.9,0.0,0.0,0.0,0.0,5.0,45.3034375,100.0,1.0,,,FOM-CAMPO,,,,68.75,27.5,7.6000000000000005
1,M01T02,Terrestre,175,M,TN1500_175_M,1459.0,7.0,7.0,7.0,7.0,70.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0,30.0,20.0,40.0,70.0,70.0,80.0,57.0,3.0,3.1,3.5,2.2,0.0,0.0,20.0,0.0,5.0,48.5775,100.0,1.0,,,FOM-CAMPO,,,,30.0,69.25,11.8
1,M01T02,Terrestre,225,M,TN1500_225_M,1459.0,1.0,1.0,1.0,1.0,70.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,60.0,80.0,90.0,70.0,40.0,20.0,5.0,25.0,4.0,5.5,2.0,2.0,0.0,0.0,5.0,5.0,4.0,85.10072917,100.0,1.0,,,FOM-CAMPO,,,,75.0,22.5,13.5
1,M01T03,Terrestre,25,J,TN2500_25_J,1453.0,20.0,20.0,20.0,20.0,250.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,46.0,40.0,15.0,30.0,0.0,0.0,0.0,0.0,3.0,24.27552083,100.0,1.0,,,FOM,,,,0.0,100.0,131.0
1,M01T03,Terrestre,75,J,TN2500_75_J,1453.0,33.0,33.0,33.0,33.0,250.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,48.0,35.0,41.0,50.0,0.0,0.0,0.0,0.0,9.0,22.664375,100.0,1.0,,,FOM,,,,0.0,100.0,174.0
1,M01T03,Terrestre,125,J,TN2500_125_J,1453.0,45.0,45.0,45.0,45.0,250.0,45.0,45.0,45.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,100.0,100.0,15.0,15.0,29.0,20.0,20.0,15.0,8.0,5.0,16.0,5.891458333,100.0,1.0,,,FOM,,,,0.0,97.5,79.0
1,M01T03,Terrestre,175,J,TN2500_175_J,1453.0,16.5,16.5,16.5,16.5,300.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,10.0,7.5,7.0,19.0,0.0,0.0,0.0,0.0,8.0,19.6353125,100.0,1.0,,,FOM,,,,0.0,100.0,43.5
1,M01T03,Terrestre,225,J,TN2500_225_J,1453.0,24.5,24.5,24.5,24.5,310.0,40.0,40.0,40.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,7.5,7.6,14.4,0.0,0.0,0.0,0.0,8.5,22.54479167,100.0,1.0,,,FOM,,,,0.0,75.0,29.5
