Antigo,Novo,Existência,Mod,Plot,Type,Distance,Side,UniqueID,Altitude,Decl1,Decl2,Decl3,Decl4,Aspecto,Prof1,Prof2,Prof3,Prof4,Rocha1,Rocha2,Rocha3,Rocha4,Solo1,Solo2,Solo3,Solo4,Biom1,Biom2,Biom3,Biom4,Serra1,Serra2,Serra3,Serra4,esp_serra1,esp_serra2,esp_serra3,esp_serra4,grimpa1,grimpa2,grimpa3,grimpa4,hmax,dossel,agua,Gado,Veg,Fogo,tipo.veg,obs,obs2,data
TN1500,M01T02,SIM,1.0,M01T02,Terrestre,125.0,M,TN1500_125_M,1459.0,6.0,6.0,6.0,6.0,70.0,30.0,30.0,30.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,85.0,90.0,50.0,35.0,15.0,10.0,1.7,2.5,2.5,0.9,0.0,0.0,0.0,0.0,5.0,45.3034375,,,,,FOM-CAMPO,,,
TN1500,M01T02,SIM,1.0,M01T02,Terrestre,175.0,M,TN1500_175_M,1459.0,7.0,7.0,7.0,7.0,70.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0,30.0,20.0,40.0,70.0,70.0,80.0,57.0,3.0,3.1,3.5,2.2,0.0,0.0,20.0,0.0,5.0,48.5775,,,Eupatorium spp,,FOM-CAMPO,,,
TN1500,M01T02,SIM,1.0,M01T02,Terrestre,225.0,M,TN1500_225_M,1459.0,1.0,1.0,1.0,1.0,70.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,60.0,80.0,90.0,70.0,40.0,20.0,5.0,25.0,4.0,5.5,2.0,2.0,0.0,0.0,5.0,5.0,4.0,85.10072917,,,Eupatorium spp,,FOM-CAMPO,,,
TN2500,M01T03,SIM,1.0,M01T03,Terrestre,25.0,J,TN2500_25_J,1453.0,20.0,20.0,20.0,20.0,250.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,46.0,40.0,15.0,30.0,0.0,0.0,0.0,0.0,3.0,24.27552083,,,Dicksonia sellowiana,,FOM,,,
TN2500,M01T03,SIM,1.0,M01T03,Terrestre,75.0,J,TN2500_75_J,1453.0,33.0,33.0,33.0,33.0,250.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,48.0,35.0,41.0,50.0,0.0,0.0,0.0,0.0,9.0,22.664375,,,Dicksonia sellowiana,,FOM,,,
TN2500,M01T03,SIM,1.0,M01T03,Terrestre,125.0,J,TN2500_125_J,1453.0,45.0,45.0,45.0,45.0,250.0,45.0,45.0,45.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,100.0,100.0,15.0,15.0,29.0,20.0,20.0,15.0,8.0,5.0,16.0,5.891458333,,,Dicksonia sellowiana,,FOM,,,
TN2500,M01T03,SIM,1.0,M01T03,Terrestre,175.0,J,TN2500_175_J,1453.0,16.5,16.5,16.5,16.5,300.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,10.0,7.5,7.0,19.0,0.0,0.0,0.0,0.0,8.0,19.6353125,,,Dicksonia sellowiana,,FOM,,,
TN2500,M01T03,SIM,1.0,M01T03,Terrestre,225.0,J,TN2500_225_J,1453.0,24.5,24.5,24.5,24.5,310.0,40.0,40.0,40.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,7.5,7.6,14.4,0.0,0.0,0.0,0.0,8.5,22.54479167,,,Dicksonia sellowiana,,FOM,,,
TN2500,M01T03,SIM,1.0,M01T03,Terrestre,25.0,M,TN2500_25_M,1453.0,37.0,37.0,37.0,37.0,280.0,51.0,51.0,51.0,51.0,0.0,0.0,15.0,5.0,3.0,5.0,20.0,10.0,0.0,0.0,0.0,0.0,97.0,95.0,65.0,85.0,3.0,7.0,6.0,5.0,3.0,5.0,20.0,10.0,14.0,23.90395833,,,Dicksonia sellowiana,,FOM,,,
TN2500,M01T03,SIM,1.0,M01T03,Terrestre,75.0,M,TN2500_75_M,1453.0,33.0,33.0,33.0,33.0,250.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,0.0,5.0,8.0,20.0,0.0,65.0,80.0,80.0,100.0,4.0,4.0,9.0,13.0,0.0,0.0,0.0,0.0,2.5,39.8165625,,,Dicksonia sellowiana,,FOM,,,
TN2500,M01T03,SIM,1.0,M01T03,Terrestre,125.0,M,TN2500_125_M,1453.0,40.0,40.0,40.0,40.0,240.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,36.0,25.0,30.0,45.0,0.0,0.0,0.0,0.0,5.5,6.831666667,,,Dicksonia sellowiana,,FOM,,,
TN2500,M01T03,SIM,1.0,M01T03,Terrestre,175.0,M,TN2500_175_M,1453.0,31.0,31.0,31.0,31.0,300.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,24.0,20.0,16.0,13.0,0.0,0.0,0.0,0.0,13.0,8.9709375,,,Dicksonia sellowiana,,FOM,,,
TN2500,M01T03,SIM,1.0,M01T03,Terrestre,225.0,M,TN2500_225_M,1453.0,16.9,16.9,16.9,16.9,320.0,30.0,30.0,30.0,30.0,0.0,5.0,0.0,0.0,10.0,60.0,15.0,25.0,0.0,0.0,5.0,5.0,90.0,35.0,80.0,70.0,3.0,5.0,5.0,3.0,2.0,60.0,15.0,25.0,11.0,35.61041667,,,Dicksonia sellowiana + Araucaria angustifolia,,FOM,,,
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,25.0,J,TN3500_25_J,1592.0,25.0,10.0,26.0,17.0,229.0,18.0,40.0,35.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,2.0,95.0,95.0,90.0,98.0,2.0,1.5,2.3,2.6,0.0,0.0,0.0,0.0,7.0,16.93135417,,,,,FOM,,,2/20/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,75.0,J,TN3500_75_J,1592.0,16.0,13.0,13.0,14.0,197.0,51.0,20.0,45.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,90.0,80.0,65.0,20.0,10.0,20.0,35.0,1.3,2.0,5.0,4.0,20.0,0.0,5.0,10.0,10.0,17.11458333,,,,,FOM,,,2/20/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,125.0,J,TN3500_125_J,1592.0,12.0,22.0,26.0,14.0,272.0,40.0,30.0,40.0,51.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,95.0,98.0,40.0,95.0,7.5,5.0,4.5,6.0,45.0,10.0,5.0,30.0,13.0,10.2959375,,,,,FOM,,,2/20/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,175.0,J,TN3500_175_J,1592.0,18.0,18.0,16.0,18.0,241.0,51.0,51.0,31.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,0.0,92.0,95.0,98.0,100.0,2.5,2.0,2.0,2.2,10.0,15.0,10.0,10.0,11.0,13.65322917,,,,,FOM,,,2/20/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,225.0,J,TN3500_225_J,1592.0,23.0,15.0,21.0,13.0,241.0,51.0,22.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,5.0,0.0,50.0,95.0,95.0,100.0,2.0,1.7,3.5,1.5,0.0,0.0,0.0,0.0,7.0,18.57239583,,,,,FOM,,,2/20/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,25.0,M,TN3500_25_M,1592.0,15.0,12.0,16.0,10.0,200.0,21.0,22.0,17.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,60.0,40.0,40.0,49.0,40.0,60.0,60.0,2.8,3.3,4.6,4.0,0.0,0.0,0.0,0.0,8.0,30.4171875,,,,,FOM,,,2/20/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,75.0,M,TN3500_75_M,1592.0,9.0,12.0,19.0,20.0,208.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,70.0,40.0,30.0,40.0,25.0,60.0,68.0,58.0,2.4,2.2,2.0,2.6,0.0,0.0,0.0,0.0,9.0,24.39447917,,,,,FOM,,,2/20/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,125.0,M,TN3500_125_M,1592.0,26.0,10.0,2.0,17.0,273.0,35.0,20.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,2.0,90.0,95.0,98.0,98.0,5.0,11.0,6.1,3.0,15.0,20.0,25.0,25.0,12.0,11.511875,,,,,FOM,,,2/20/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,175.0,M,TN3500_175_M,1592.0,23.0,23.0,20.0,30.0,275.0,51.0,20.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,98.0,100.0,100.0,95.0,6.5,5.0,4.0,6.0,0.0,0.0,0.0,0.0,8.0,28.87197917,,,,,FOM,,,2/20/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,225.0,M,TN3500_225_M,1592.0,10.0,8.0,10.0,23.0,240.0,40.0,51.0,40.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0,95.0,95.0,90.0,90.0,3.4,4.4,4.2,3.5,50.0,60.0,20.0,25.0,11.0,10.569375,,,,,FOM,,,2/20/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,25.0,J,TN3500_25_J,1592.0,18.0,13.5,28.0,22.0,190.0,11.0,11.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,9.0,15.0,95.0,97.0,91.0,85.0,2.0,1.6,1.0,2.5,0.0,0.0,0.0,0.0,10.0,16.93135417,,,Myrceugenia glauscescens + Dicksonia sellowiana (baixo),,FOM,,,11/13/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,75.0,J,TN3500_75_J,1592.0,12.8,12.8,12.8,12.8,250.0,51.0,40.0,41.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,94.0,99.0,99.0,98.0,1.5,4.2,5.5,3.0,0.0,0.0,5.0,2.0,10.0,17.11458333,,,Myrceugenia glauscescens + Dicksonia sellowiana (baixo),,FOM,,,11/13/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,125.0,J,TN3500_125_J,1592.0,14.0,15.0,20.0,8.0,240.0,40.0,45.0,40.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,99.0,97.0,97.0,98.0,2.5,4.6,3.0,5.0,5.0,3.0,40.0,8.0,16.0,10.2959375,,,Dicksonia sellowiana (pequena) + Drimys angustifolia + Mnyrceugenia glauscescens,,FOM,,,11/13/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,175.0,J,TN3500_175_J,1592.0,14.0,15.2,15.0,16.0,260.0,40.0,45.0,40.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,5.0,2.0,95.0,92.0,95.0,98.0,2.0,1.0,2.5,3.0,8.0,20.0,20.0,20.0,17.0,13.65322917,,Sim,Myrceugenia spp. + Dicksonia sellowiana (baixo),,FOM,,,11/13/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,225.0,J,TN3500_225_J,1592.0,14.0,10.0,8.8,13.4,270.0,40.0,40.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,1.0,95.0,92.0,99.0,99.0,2.5,2.0,2.5,4.5,0.0,0.0,0.0,0.0,11.0,18.57239583,,,Myrceugenia glauscescens + Dicksonia sellowiana (baixo),,FOM,,,11/13/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,25.0,M,TN3500_25_M,1592.0,21.0,16.8,24.0,18.0,200.0,18.0,25.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,5.0,5.0,94.0,90.0,95.0,95.0,2.0,3.0,2.0,2.5,0.0,0.0,0.0,0.0,10.0,30.4171875,,,Dicksonia sellowiana (pequena) + Drimys angustifolia + Mnyrceugenia glauscescens,,FOM,,,11/13/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,75.0,M,TN3500_75_M,1592.0,12.0,12.0,12.0,12.0,210.0,18.0,51.0,51.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,4.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,11.0,24.39447917,,,Dicksonia sellowiana (baixo) + Drimys angustifolia,,FOM,,,11/13/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,125.0,M,TN3500_125_M,1592.0,7.0,6.0,16.0,19.0,280.0,30.0,20.0,31.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,5.0,8.5,8.0,5.0,70.0,60.0,80.0,8.0,15.0,11.511875,,,Dicksonia sellowiana (baixo) + Drimys angustifolia,,FOM,,,11/13/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,175.0,M,TN3500_175_M,1592.0,12.0,18.0,16.3,11.4,255.0,16.0,23.0,29.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,5.1,4.1,6.0,4.5,0.0,0.0,0.0,0.0,11.0,28.87197917,,,Dicksonia sellowiana (baixo),,FOM,,,11/13/2020
TN3500,M01T04,SIM,1.0,M01T04,Terrestre,225.0,M,TN3500_225_M,1592.0,20.0,15.0,13.0,18.0,250.0,32.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,5.0,2.0,95.0,92.0,95.0,98.0,4.6,3.2,7.0,2.5,15.0,35.0,50.0,60.0,18.0,10.569375,,,Myrceugenia glauscescens + Dicksonia sellowiana (baixo),,FOM,,,11/13/2020
TN4500,M01T05,SIM,1.0,M01T05,Terrestre,25.0,J,TN4500_25_J,1528.0,17.0,16.0,4.0,0.5,350.0,1.0,8.0,7.0,9.0,50.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,1.0,40.0,85.0,80.0,94.0,3.0,2.0,3.0,3.0,5.0,70.0,20.0,40.0,10.0,32.8725,,,,,FOM-CAMPO,,,10/31/2020
TN4500,M01T05,SIM,1.0,M01T05,Terrestre,75.0,J,TN4500_75_J,1528.0,2.0,2.0,1.5,1.5,348.0,25.0,30.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,97.0,95.0,98.0,99.0,1.2,5.0,4.0,4.0,20.0,50.0,45.0,55.0,11.0,28.60479167,,,Dysinaphya multicrenulata,,FOM-CAMPO,,,10/31/2020
TN4500,M01T05,SIM,1.0,M01T05,Terrestre,125.0,J,TN4500_125_J,1528.0,1.8,1.8,1.8,1.8,350.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,Banhado,,FOM-CAMPO,Alt campo:50 cm,banhado,10/31/2020
TN4500,M01T05,SIM,1.0,M01T05,Terrestre,175.0,J,TN4500_175_J,1528.0,3.0,3.0,3.0,3.0,350.0,5.0,4.0,15.0,10.0,20.0,15.0,0.0,25.0,65.0,60.0,5.0,70.0,15.0,25.0,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,88.46041667,100.0,,,,FOM-CAMPO,,,10/31/2020
TN4500,M01T05,SIM,1.0,M01T05,Terrestre,225.0,J,TN4500_225_J,1528.0,34.0,18.0,24.0,33.9,30.0,11.0,30.0,16.0,35.0,35.0,5.0,0.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,65.0,95.0,90.0,85.0,5.0,7.0,6.0,3.0,40.0,35.0,70.0,10.0,13.0,15.538125,,,Cara,,FOM-CAMPO,200-230 javali,,10/31/2020
TN4500,M01T05,SIM,1.0,M01T05,Terrestre,25.0,M,TN4500_25_M,1528.0,3.0,3.0,3.0,3.0,20.0,6.0,10.0,15.0,13.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,Dysinaphya multicrenulata,,FOM-CAMPO,banhado,alt campo: 13cm,10/31/2020
TN4500,M01T05,SIM,1.0,M01T05,Terrestre,75.0,M,TN4500_75_M,1528.0,5.0,5.0,5.0,5.0,348.0,20.0,20.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,79.50291667,,,Dysinaphya multicrenulata,,FOM-CAMPO,borda banhado,alt campo 30 cm,10/31/2020
TN4500,M01T05,SIM,1.0,M01T05,Terrestre,125.0,M,TN4500_125_M,1528.0,1.8,1.8,1.8,1.8,360.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,banhado,,FOM-CAMPO,,,10/31/2020
TN4500,M01T05,SIM,1.0,M01T05,Terrestre,175.0,M,TN4500_175_M,1528.0,4.0,4.0,4.0,4.0,15.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,banhado,,FOM-CAMPO,,,10/31/2020
TN4500,M01T05,SIM,1.0,M01T05,Terrestre,225.0,M,TN4500_225_M,1528.0,6.0,1.0,0.5,3.7,48.0,29.0,30.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,80.0,10.0,2.0,92.0,20.0,90.0,98.0,4.0,1.0,3.0,2.4,0.0,0.0,0.0,0.0,4.5,89.26020833,,Sim,Dysinaphya multicrenulata,,FOM-CAMPO,,,10/31/2020
TS0500,M01T06,SIM,1.0,M01T06,Terrestre,25.0,J,TS500_25_J,1500.0,28.5,23.0,6.0,3.0,25.0,5.0,9.0,5.0,23.0,15.0,60.0,6.0,0.0,77.0,32.0,82.0,92.0,8.0,8.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,99.0875,,,Campo + Bacharis uncinella (queimado),Sim,CAMPO,,,
